# Jiukong first-party phrase lexicon. See README.md.
測試	ㄘㄜˋ ㄕˋ
失望	ㄕ ㄨㄤˋ
驚訝	ㄐㄧㄥ ㄧㄚˋ
期待	ㄑㄧˊ ㄉㄞˋ
壓力	ㄧㄚ ㄌㄧˋ
焦慮	ㄐㄧㄠ ㄌㄩˋ
幸福	ㄒㄧㄥˋ ㄈㄨˊ
快樂	ㄎㄨㄞˋ ㄌㄜˋ
悲傷	ㄅㄟ ㄕㄤ
孤單	ㄍㄨ ㄉㄢ
寂寞	ㄐㄧˊ ㄇㄛˋ
興奮	ㄒㄧㄥ ㄈㄣˋ
感動	ㄍㄢˇ ㄉㄨㄥˋ
無奈	ㄨˊ ㄋㄞˋ
可怕	ㄎㄜˇ ㄆㄚˋ
嚴重	ㄧㄢˊ ㄓㄨㄥˋ
輕微	ㄑㄧㄥ ㄨㄟˊ
充足	ㄔㄨㄥ ㄗㄨˊ
短缺	ㄉㄨㄢˇ ㄑㄩㄝ

# Public places, travel services, media, and culture.
派出所	ㄆㄞˋ ㄔㄨ ㄙㄨㄛˇ
警察局	ㄐㄧㄥˇ ㄔㄚˊ ㄐㄩˊ
消防局	ㄒㄧㄠ ㄈㄤˊ ㄐㄩˊ
市政府	ㄕˋ ㄓㄥˋ ㄈㄨˇ
區公所	ㄑㄩ ㄍㄨㄥ ㄙㄨㄛˇ
戶政事務所	ㄏㄨˋ ㄓㄥˋ ㄕˋ ㄨˋ ㄙㄨㄛˇ
衛生所	ㄨㄟˋ ㄕㄥ ㄙㄨㄛˇ
運動場	ㄩㄣˋ ㄉㄨㄥˋ ㄔㄤˇ
體育館	ㄊㄧˇ ㄩˋ ㄍㄨㄢˇ
游泳池	ㄧㄡˊ ㄩㄥˇ ㄔˊ
博物館	ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ
美術館	ㄇㄟˇ ㄕㄨˋ ㄍㄨㄢˇ
電影院	ㄉㄧㄢˋ ㄧㄥˇ ㄩㄢˋ
劇院	ㄐㄩˋ ㄩㄢˋ
音樂廳	ㄧㄣ ㄩㄝˋ ㄊㄧㄥ
藥妝店	ㄧㄠˋ ㄓㄨㄤ ㄉㄧㄢˋ
五金行	ㄨˇ ㄐㄧㄣ ㄏㄤˊ
書店	ㄕㄨ ㄉㄧㄢˋ
花店	ㄏㄨㄚ ㄉㄧㄢˋ
洗衣店	ㄒㄧˇ ㄧ ㄉㄧㄢˋ
理髮店	ㄌㄧˇ ㄈㄚˇ ㄉㄧㄢˋ
郵筒	ㄧㄡˊ ㄊㄨㄥˇ
北部	ㄅㄟˇ ㄅㄨˋ
中部	ㄓㄨㄥ ㄅㄨˋ
南部	ㄋㄢˊ ㄅㄨˋ
東部	ㄉㄨㄥ ㄅㄨˋ
西部	ㄒㄧ ㄅㄨˋ
離島	ㄌㄧˊ ㄉㄠˇ
山上	ㄕㄢ ㄕㄤˋ
海邊	ㄏㄞˇ ㄅㄧㄢ
市區	ㄕˋ ㄑㄩ
鄉村	ㄒㄧㄤ ㄘㄨㄣ
社區中心	ㄕㄜˋ ㄑㄩ ㄓㄨㄥ ㄒㄧㄣ
公共場所	ㄍㄨㄥ ㄍㄨㄥˋ ㄔㄤˇ ㄙㄨㄛˇ
服務中心	ㄈㄨˊ ㄨˋ ㄓㄨㄥ ㄒㄧㄣ
旅客服務中心	ㄌㄩˇ ㄎㄜˋ ㄈㄨˊ ㄨˋ ㄓㄨㄥ ㄒㄧㄣ
住宿	ㄓㄨˋ ㄙㄨˋ
退房	ㄊㄨㄟˋ ㄈㄤˊ
入住	ㄖㄨˋ ㄓㄨˋ
訂房	ㄉㄧㄥˋ ㄈㄤˊ
房號	ㄈㄤˊ ㄏㄠˋ
單人房	ㄉㄢ ㄖㄣˊ ㄈㄤˊ
雙人房	ㄕㄨㄤ ㄖㄣˊ ㄈㄤˊ
櫃台	ㄍㄨㄟˋ ㄊㄞˊ
房卡	ㄈㄤˊ ㄎㄚˇ
早餐時間	ㄗㄠˇ ㄘㄢ ㄕˊ ㄐㄧㄢ
無障礙設施	ㄨˊ ㄓㄤˋ ㄞˋ ㄕㄜˋ ㄕ
景點	ㄐㄧㄥˇ ㄉㄧㄢˇ
觀光	ㄍㄨㄢ ㄍㄨㄤ
旅遊資訊	ㄌㄩˇ ㄧㄡˊ ㄗ ㄒㄩㄣˋ
行程	ㄒㄧㄥˊ ㄔㄥˊ
出國	ㄔㄨ ㄍㄨㄛˊ
入境	ㄖㄨˋ ㄐㄧㄥˋ
出境	ㄔㄨ ㄐㄧㄥˋ
海關	ㄏㄞˇ ㄍㄨㄢ
簽證	ㄑㄧㄢ ㄓㄥˋ
旅遊保險	ㄌㄩˇ ㄧㄡˊ ㄅㄠˇ ㄒㄧㄢˇ
旅行社	ㄌㄩˇ ㄒㄧㄥˊ ㄕㄜˋ
導遊	ㄉㄠˇ ㄧㄡˊ
自由行	ㄗˋ ㄧㄡˊ ㄒㄧㄥˊ
團體旅遊	ㄊㄨㄢˊ ㄊㄧˇ ㄌㄩˇ ㄧㄡˊ
電影	ㄉㄧㄢˋ ㄧㄥˇ
電視節目	ㄉㄧㄢˋ ㄕˋ ㄐㄧㄝˊ ㄇㄨˋ
連續劇	ㄌㄧㄢˊ ㄒㄩˋ ㄐㄩˋ
紀錄片	ㄐㄧˋ ㄌㄨˋ ㄆㄧㄢˋ
動畫	ㄉㄨㄥˋ ㄏㄨㄚˋ
漫畫	ㄇㄢˋ ㄏㄨㄚˋ
小說	ㄒㄧㄠˇ ㄕㄨㄛ
雜誌	ㄗㄚˊ ㄓˋ
報紙	ㄅㄠˋ ㄓˇ
廣播	ㄍㄨㄤˇ ㄅㄛˋ
節目	ㄐㄧㄝˊ ㄇㄨˋ
頻道	ㄆㄧㄣˊ ㄉㄠˋ
演員	ㄧㄢˇ ㄩㄢˊ
歌手	ㄍㄜ ㄕㄡˇ
導演	ㄉㄠˇ ㄧㄢˇ
編劇	ㄅㄧㄢ ㄐㄩˋ
歌曲	ㄍㄜ ㄑㄩˇ
歌詞	ㄍㄜ ㄘˊ
樂器	ㄩㄝˋ ㄑㄧˋ
鋼琴	ㄍㄤ ㄑㄧㄣˊ
吉他	ㄐㄧˊ ㄊㄚ
展覽	ㄓㄢˇ ㄌㄢˇ
表演	ㄅㄧㄠˇ ㄧㄢˇ
演出	ㄧㄢˇ ㄔㄨ
舞蹈	ㄨˇ ㄉㄠˋ
戲劇	ㄒㄧˋ ㄐㄩˋ
藝術	ㄧˋ ㄕㄨˋ
文學	ㄨㄣˊ ㄒㄩㄝˊ
創作	ㄔㄨㄤˋ ㄗㄨㄛˋ
作品	ㄗㄨㄛˋ ㄆㄧㄣˇ
收藏	ㄕㄡ ㄘㄤˊ
利益	ㄌㄧˋ ㄧˋ
翻譯	ㄈㄢ ㄧˋ
一億	ㄧ ㄧˋ
毅力	ㄧˋ ㄌㄧˋ
安逸	ㄢ ㄧˋ
溢出	ㄧˋ ㄔㄨ
翌日	ㄧˋ ㄖˋ
# Everyday and computing words reviewed from first-party typing use.
如圖	ㄖㄨˊ ㄊㄨˊ
什麼	ㄕㄜˊ ˙ㄇㄛ
為什麼	ㄨㄟˋ ㄕㄜˊ ˙ㄇㄛ
改成	ㄍㄞˇ ㄔㄥˊ
一樣	ㄧˊ ㄧㄤˋ
匯入	ㄏㄨㄟˋ ㄖㄨˋ
意思	ㄧˋ ㄙ
便當	ㄅㄧㄢˋ ㄉㄤ
不是	ㄅㄨˊ ㄕˋ
實作	ㄕˊ ㄗㄨㄛˋ
出現	ㄔㄨ ㄒㄧㄢˋ
一下	ㄧ ㄒㄧㄚˋ
是什麼	ㄕˋ ㄕㄜˊ ˙ㄇㄛ
裡頭	ㄌㄧˇ ㄊㄡˊ
只有	ㄓˇ ㄧㄡˇ
其他	ㄑㄧˊ ㄊㄚ
自動	ㄗˋ ㄉㄨㄥˋ
懂嗎	ㄉㄨㄥˇ ㄇㄚ
合併	ㄏㄜˊ ㄅㄧㄥˋ
票務	ㄆㄧㄠˋ ㄨˋ
那麼	ㄋㄚˋ ˙ㄇㄛ
部署	ㄅㄨˋ ㄕㄨˇ
辦法	ㄅㄢˋ ㄈㄚˇ
修復	ㄒㄧㄡ ㄈㄨˋ
匯出	ㄏㄨㄟˋ ㄔㄨ
即可	ㄐㄧˊ ㄎㄜˇ
只能	ㄓˇ ㄋㄥˊ
已修正	ㄧˇ ㄒㄧㄡ ㄓㄥˋ
教我	ㄐㄧㄠ ㄨㄛˇ
監聽	ㄐㄧㄢ ㄊㄧㄥ
並且	ㄅㄧㄥˋ ㄑㄧㄝˇ
呈現	ㄔㄥˊ ㄒㄧㄢˋ
報廢	ㄅㄠˋ ㄈㄟˋ
如何	ㄖㄨˊ ㄏㄜˊ
指令	ㄓˇ ㄌㄧㄥˋ
工作區	ㄍㄨㄥ ㄗㄨㄛˋ ㄑㄩ
是用	ㄕˋ ㄩㄥˋ
發布	ㄈㄚ ㄅㄨˋ
不行	ㄅㄨˊ ㄒㄧㄥˊ
名稱	ㄇㄧㄥˊ ㄔㄥ
底線	ㄉㄧˇ ㄒㄧㄢˋ
廠商	ㄔㄤˇ ㄕㄤ
怎麼做	ㄗㄣˇ ˙ㄇㄛ ㄗㄨㄛˋ
父科目	ㄈㄨˋ ㄎㄜ ㄇㄨˋ
訓練	ㄒㄩㄣˋ ㄌㄧㄢˋ
變成	ㄅㄧㄢˋ ㄔㄥˊ
之前	ㄓ ㄑㄧㄢˊ
保留	ㄅㄠˇ ㄌㄧㄡˊ
倒退鍵	ㄉㄠˋ ㄊㄨㄟˋ ㄐㄧㄢˋ
概算	ㄍㄞˋ ㄙㄨㄢˋ
索引	ㄙㄨㄛˇ ㄧㄣˇ
藍色	ㄌㄢˊ ㄙㄜˋ
試試	ㄕˋ ㄕˋ
雲門	ㄩㄣˊ ㄇㄣˊ
音量	ㄧㄣ ㄌㄧㄤˋ
上架	ㄕㄤˋ ㄐㄧㄚˋ
不見	ㄅㄨˊ ㄐㄧㄢˋ
中華電信	ㄓㄨㄥ ㄏㄨㄚˊ ㄉㄧㄢˋ ㄒㄧㄣˋ
張數	ㄓㄤ ㄕㄨˋ
我是	ㄨㄛˇ ㄕˋ
是不是	ㄕˋ ㄅㄨˊ ㄕˋ
符合	ㄈㄨˊ ㄏㄜˊ
語言	ㄩˇ ㄧㄢˊ
路徑	ㄌㄨˋ ㄐㄧㄥˋ
轉移	ㄓㄨㄢˇ ㄧˊ
信箱	ㄒㄧㄣˋ ㄒㄧㄤ
內建	ㄋㄟˋ ㄐㄧㄢˋ
實支	ㄕˊ ㄓ
恢復	ㄏㄨㄟ ㄈㄨˋ
指定	ㄓˇ ㄉㄧㄥˋ
提出	ㄊㄧˊ ㄔㄨ
方式	ㄈㄤ ㄕˋ
的話	˙ㄉㄜ ㄏㄨㄚˋ
蒲公英	ㄆㄨˊ ㄍㄨㄥ ㄧㄥ
規劃	ㄍㄨㄟ ㄏㄨㄚˋ
起來	ㄑㄧˇ ㄌㄞˊ
雙聲道	ㄕㄨㄤ ㄕㄥ ㄉㄠˋ
預設	ㄩˋ ㄕㄜˋ
一步一步	ㄧ ㄅㄨˋ ㄧ ㄅㄨˋ
下一步	ㄒㄧㄚˋ ㄧ ㄅㄨˋ
之類	ㄓ ㄌㄟˋ
加上	ㄐㄧㄚ ㄕㄤˋ
參考	ㄘㄢ ㄎㄠˇ
完畢	ㄨㄢˊ ㄅㄧˋ
成語	ㄔㄥˊ ㄩˇ
擬稿	ㄋㄧˇ ㄍㄠˇ
旁邊	ㄆㄤˊ ㄅㄧㄢ
是誰	ㄕˋ ㄕㄟˊ
消失	ㄒㄧㄠ ㄕ
滾動	ㄍㄨㄣˇ ㄉㄨㄥˋ
狀態	ㄓㄨㄤˋ ㄊㄞˋ
舊的	ㄐㄧㄡˋ ˙ㄉㄜ
計算	ㄐㄧˋ ㄙㄨㄢˋ
進階	ㄐㄧㄣˋ ㄐㄧㄝ
限制	ㄒㄧㄢˋ ㄓˋ
除了	ㄔㄨˊ ˙ㄌㄜ
隱藏	ㄧㄣˇ ㄘㄤˊ
高亮	ㄍㄠ ㄌㄧㄤˋ
不要	ㄅㄨˋ ㄧㄠˋ
依照	ㄧ ㄓㄠˋ
原本	ㄩㄢˊ ㄅㄣˇ
回覆	ㄏㄨㄟˊ ㄈㄨˋ
官網	ㄍㄨㄢ ㄨㄤˇ
就可以	ㄐㄧㄡˋ ㄎㄜˇ ㄧˇ
怎麼會	ㄗㄣˇ ˙ㄇㄛ ㄏㄨㄟˋ
截圖	ㄐㄧㄝˊ ㄊㄨˊ
美編	ㄇㄟˇ ㄅㄧㄢ
葷素	ㄏㄨㄣ ㄙㄨˋ
藝能	ㄧˋ ㄋㄥˊ
部份	ㄅㄨˋ ㄈㄣˋ
訂餐	ㄉㄧㄥˋ ㄘㄢ
一鍵複製	ㄧ ㄐㄧㄢˋ ㄈㄨˋ ㄓˋ
不懂	ㄅㄨˋ ㄉㄨㄥˇ
來源	ㄌㄞˊ ㄩㄢˊ
信件	ㄒㄧㄣˋ ㄐㄧㄢˋ
內部	ㄋㄟˋ ㄅㄨˋ
展開	ㄓㄢˇ ㄎㄞ
左右	ㄗㄨㄛˇ ㄧㄡˋ
店家	ㄉㄧㄢˋ ㄐㄧㄚ
彙總	ㄏㄨㄟˋ ㄗㄨㄥˇ
排隊	ㄆㄞˊ ㄉㄨㄟˋ
數據	ㄕㄨˋ ㄐㄩˋ
格式	ㄍㄜˊ ㄕˋ
模型	ㄇㄛˊ ㄒㄧㄥˊ
檢視	ㄐㄧㄢˇ ㄕˋ
汰換	ㄊㄞˋ ㄏㄨㄢˋ
淡水	ㄉㄢˋ ㄕㄨㄟˇ
爬蟲	ㄆㄚˊ ㄔㄨㄥˊ
獨立	ㄉㄨˊ ㄌㄧˋ
現有	ㄒㄧㄢˋ ㄧㄡˇ
生效	ㄕㄥ ㄒㄧㄠˋ
認證	ㄖㄣˋ ㄓㄥˋ
貼紙	ㄊㄧㄝ ㄓˇ
輪椅	ㄌㄨㄣˊ ㄧˇ
過濾	ㄍㄨㄛˋ ㄌㄩˋ
重啟	ㄔㄨㄥˊ ㄑㄧˇ
順序	ㄕㄨㄣˋ ㄒㄩˋ
憑證	ㄆㄧㄥˊ ㄓㄥˋ
不應	ㄅㄨˋ ㄧㄥ
不行	ㄅㄨˋ ㄒㄧㄥˊ
假設	ㄐㄧㄚˇ ㄕㄜˋ
偵測	ㄓㄣ ㄘㄜˋ
再試試	ㄗㄞˋ ㄕˋ ㄕˋ
判斷	ㄆㄢˋ ㄉㄨㄢˋ
剩下	ㄕㄥˋ ㄒㄧㄚˋ
印表機	ㄧㄣˋ ㄅㄧㄠˇ ㄐㄧ
單聲道	ㄉㄢ ㄕㄥ ㄉㄠˋ
地方	ㄉㄧˋ ㄈㄤ
地端	ㄉㄧˋ ㄉㄨㄢ
失真	ㄕ ㄓㄣ
幾個	ㄐㄧˇ ˙ㄍㄜ
搬到	ㄅㄢ ㄉㄠˋ
收支	ㄕㄡ ㄓ
橫的	ㄏㄥˊ ˙ㄉㄜ
檔名	ㄉㄤˋ ㄇㄧㄥˊ
檢測	ㄐㄧㄢˇ ㄘㄜˋ
歷年	ㄌㄧˋ ㄋㄧㄢˊ
為了	ㄨㄟˋ ˙ㄌㄜ
發生	ㄈㄚ ㄕㄥ
範本	ㄈㄢˋ ㄅㄣˇ
綁定	ㄅㄤˇ ㄉㄧㄥˋ
能否	ㄋㄥˊ ㄈㄡˇ
舊官網	ㄐㄧㄡˋ ㄍㄨㄢ ㄨㄤˇ
製作	ㄓˋ ㄗㄨㄛˋ
覆蓋	ㄈㄨˋ ㄍㄞˋ
觀後	ㄍㄨㄢ ㄏㄡˋ
記住	ㄐㄧˋ ㄓㄨˋ
評分	ㄆㄧㄥˊ ㄈㄣ
警告	ㄐㄧㄥˇ ㄍㄠˋ
載入	ㄗㄞˋ ㄖㄨˋ
過程	ㄍㄨㄛˋ ㄔㄥˊ
驚嘆號	ㄐㄧㄥ ㄊㄢˋ ㄏㄠˋ
# Common vocabulary reviewed from first-party typing use (2026-09-07 batch).
愛好	ㄞˋ ㄏㄠˋ
白天	ㄅㄞˊ ㄊㄧㄢ
半年	ㄅㄢˋ ㄋㄧㄢˊ
半天	ㄅㄢˋ ㄊㄧㄢ
幫忙	ㄅㄤ ㄇㄤˊ
包子	ㄅㄠ ˙ㄗ
北邊	ㄅㄟˇ ㄅㄧㄢ
北京	ㄅㄟˇ ㄐㄧㄥ
本子	ㄅㄣˇ ˙ㄗ
別的	ㄅㄧㄝˊ ˙ㄉㄜ
不大	ㄅㄨˋ ㄉㄚˋ
不對	ㄅㄨˋ ㄉㄨㄟˋ
唱歌	ㄔㄤˋ ㄍㄜ
車上	ㄔㄜ ㄕㄤˋ
出來	ㄔㄨ ㄌㄞˊ
打車	ㄉㄚˇ ㄔㄜ
打球	ㄉㄚˇ ㄑㄧㄡˊ
大學生	ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ
得到	ㄉㄜˊ ㄉㄠˋ
地點	ㄉㄧˋ ㄉㄧㄢˇ
地上	ㄉㄧˋ ㄕㄤˋ
電視機	ㄉㄧㄢˋ ㄕˋ ㄐㄧ
東邊	ㄉㄨㄥ ㄅㄧㄢ
東西	ㄉㄨㄥ ㄒㄧ
動作	ㄉㄨㄥˋ ㄗㄨㄛˋ
讀書	ㄉㄨˊ ㄕㄨ
放假	ㄈㄤˋ ㄐㄧㄚˋ
告訴	ㄍㄠˋ ㄙㄨˋ
幹什麼	ㄍㄢˋ ㄕㄣˊ ˙ㄇㄜ
工人	ㄍㄨㄥ ㄖㄣˊ
關上	ㄍㄨㄢ ㄕㄤˋ
漢語	ㄏㄢˋ ㄩˇ
漢字	ㄏㄢˋ ㄗˋ
好聽	ㄏㄠˇ ㄊㄧㄥ
好玩兒	ㄏㄠˇ ㄨㄢˊ ㄦˊ
後邊	ㄏㄡˋ ㄅㄧㄢ
回到	ㄏㄨㄟˊ ㄉㄠˋ
回去	ㄏㄨㄟˊ ㄑㄩˋ
教學樓	ㄐㄧㄠˋ ㄒㄩㄝˊ ㄌㄡˊ
進來	ㄐㄧㄣˋ ㄌㄞˊ
進去	ㄐㄧㄣˋ ㄑㄩˋ
覺得	ㄐㄩㄝˊ ˙ㄉㄜ
開玩笑	ㄎㄞ ㄨㄢˊ ㄒㄧㄠˋ
看病	ㄎㄢˋ ㄅㄧㄥˋ
看見	ㄎㄢˋ ㄐㄧㄢˋ
課文	ㄎㄜˋ ㄨㄣˊ
來到	ㄌㄞˊ ㄉㄠˋ
裡邊	ㄌㄧˇ ㄅㄧㄢ
路上	ㄌㄨˋ ㄕㄤˋ
馬路	ㄇㄚˇ ㄌㄨˋ
沒事兒	ㄇㄟˊ ㄕˋ ㄦˊ
門票	ㄇㄣˊ ㄆㄧㄠˋ
米飯	ㄇㄧˇ ㄈㄢˋ
麵條兒	ㄇㄧㄢˋ ㄊㄧㄠˊ ㄦˊ
哪兒	ㄋㄚˇ ㄦˊ
那兒	ㄋㄚˋ ㄦˊ
男孩兒	ㄋㄢˊ ㄏㄞˊ ㄦˊ
南邊	ㄋㄢˊ ㄅㄧㄢ
女孩兒	ㄋㄩˇ ㄏㄞˊ ㄦˊ
前邊	ㄑㄧㄢˊ ㄅㄧㄢ
請進	ㄑㄧㄥˇ ㄐㄧㄣˋ
請坐	ㄑㄧㄥˇ ㄗㄨㄛˋ
日期	ㄖˋ ㄑㄧ
商場	ㄕㄤ ㄔㄤˇ
上網	ㄕㄤˋ ㄨㄤˇ
上邊	ㄕㄤˋ ㄅㄧㄢ
上學	ㄕㄤˋ ㄒㄩㄝˊ
上次	ㄕㄤˋ ㄘˋ
身上	ㄕㄣ ㄕㄤˋ
書包	ㄕㄨ ㄅㄠ
聽到	ㄊㄧㄥ ㄉㄠˋ
聽寫	ㄊㄧㄥ ㄒㄧㄝˇ
外邊	ㄨㄞˋ ㄅㄧㄢ
外國	ㄨㄞˋ ㄍㄨㄛˊ
玩兒	ㄨㄢˊ ㄦˊ
晚飯	ㄨㄢˇ ㄈㄢˋ
網上	ㄨㄤˇ ㄕㄤˋ
網友	ㄨㄤˇ ㄧㄡˇ
外語	ㄨㄞˋ ㄩˇ
午飯	ㄨˇ ㄈㄢˋ
西邊	ㄒㄧ ㄅㄧㄢ
洗手間	ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ
下邊	ㄒㄧㄚˋ ㄅㄧㄢ
下次	ㄒㄧㄚˋ ㄘˋ
小孩兒	ㄒㄧㄠˇ ㄏㄞˊ ㄦˊ
小學生	ㄒㄧㄠˇ ㄒㄩㄝˊ ㄕㄥ
星期	ㄒㄧㄥ ㄑㄧ
星期日	ㄒㄧㄥ ㄑㄧ ㄖˋ
星期天	ㄒㄧㄥ ㄑㄧ ㄊㄧㄢ
學院	ㄒㄩㄝˊ ㄩㄢˋ
一會兒	ㄧ ㄏㄨㄟˋ ㄦˊ
一塊兒	ㄧ ㄎㄨㄞˋ ㄦˊ
一下兒	ㄧ ㄒㄧㄚˋ ㄦˊ
一邊	ㄧ ㄅㄧㄢ
一點兒	ㄧ ㄉㄧㄢˇ ㄦˊ
有的	ㄧㄡˇ ˙ㄉㄜ
有名	ㄧㄡˇ ㄇㄧㄥˊ
有時候	ㄧㄡˇ ㄕˊ ㄏㄡˋ
有些	ㄧㄡˇ ㄒㄧㄝ
有用	ㄧㄡˇ ㄩㄥˋ
在家	ㄗㄞˋ ㄐㄧㄚ
早飯	ㄗㄠˇ ㄈㄢˋ
這兒	ㄓㄜˋ ㄦˊ
正在	ㄓㄥˋ ㄗㄞˋ
中國	ㄓㄨㄥ ㄍㄨㄛˊ
中學	ㄓㄨㄥ ㄒㄩㄝˊ
中學生	ㄓㄨㄥ ㄒㄩㄝˊ ㄕㄥ
最好	ㄗㄨㄟˋ ㄏㄠˇ
坐下	ㄗㄨㄛˋ ㄒㄧㄚˋ
愛人	ㄞˋ ㄖㄣˊ
班長	ㄅㄢ ㄓㄤˇ
白色	ㄅㄞˊ ㄙㄜˋ
北方	ㄅㄟˇ ㄈㄤ
比如說	ㄅㄧˇ ㄖㄨˊ ㄕㄨㄛ
比如	ㄅㄧˇ ㄖㄨˊ
筆記本	ㄅㄧˇ ㄐㄧˋ ㄅㄣˇ
不錯	ㄅㄨˋ ㄘㄨㄛˋ
不夠	ㄅㄨˋ ㄍㄡˋ
不太	ㄅㄨˋ ㄊㄞˋ
不滿	ㄅㄨˋ ㄇㄢˇ
不如	ㄅㄨˋ ㄖㄨˊ
不久	ㄅㄨˋ ㄐㄧㄡˇ
不少	ㄅㄨˋ ㄕㄠˇ
不一會兒	ㄅㄨˋ ㄧ ㄏㄨㄟˇ ㄦˊ
參觀	ㄘㄢ ㄍㄨㄢ
草地	ㄘㄠˇ ㄉㄧˋ
差不多	ㄔㄚˋ ㄅㄨˋ ㄉㄨㄛ
常見	ㄔㄤˊ ㄐㄧㄢˋ
常用	ㄔㄤˊ ㄩㄥˋ
超過	ㄔㄠ ㄍㄨㄛˋ
車輛	ㄔㄜ ㄌㄧㄤˋ
重複	ㄔㄨㄥˊ ㄈㄨˋ
成為	ㄔㄥˊ ㄨㄟˊ
出口	ㄔㄨ ㄎㄡˇ
出租	ㄔㄨ ㄗㄨ
春節	ㄔㄨㄣ ㄐㄧㄝˊ
詞典	ㄘˊ ㄉㄧㄢˇ
詞語	ㄘˊ ㄩˇ
答應	ㄉㄚ ㄧㄥˋ
打工	ㄉㄚˇ ㄍㄨㄥ
從小	ㄘㄨㄥˊ ㄒㄧㄠˇ
打算	ㄉㄚˇ ㄙㄨㄢˋ
大大	ㄉㄚˋ ㄉㄚˋ
大多數	ㄉㄚˋ ㄉㄨㄛ ㄕㄨˋ
大海	ㄉㄚˋ ㄏㄞˇ
大量	ㄉㄚˋ ㄌㄧㄤˋ
大聲	ㄉㄚˋ ㄕㄥ
大衣	ㄉㄚˋ ㄧ
大自然	ㄉㄚˋ ㄗˋ ㄖㄢˊ
帶來	ㄉㄞˋ ㄌㄞˊ
單位	ㄉㄢ ㄨㄟˋ
當時	ㄉㄤ ㄕˊ
到處	ㄉㄠˋ ㄔㄨˋ
道理	ㄉㄠˋ ㄌㄧˇ
得出	ㄉㄜˊ ㄔㄨ
等到	ㄉㄥˇ ㄉㄠˋ
等於	ㄉㄥˇ ㄩˊ
地鐵	ㄉㄧˋ ㄊㄧㄝˇ
地鐵站	ㄉㄧˋ ㄊㄧㄝˇ ㄓㄢˋ
點頭	ㄉㄧㄢˇ ㄊㄡˊ
東北	ㄉㄨㄥ ㄅㄟˇ
東方	ㄉㄨㄥ ㄈㄤ
東南	ㄉㄨㄥ ㄋㄢˊ
懂得	ㄉㄨㄥˇ ˙ㄉㄜ
動物園	ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ
讀音	ㄉㄨˊ ㄧㄣ
隊長	ㄉㄨㄟˋ ㄓㄤˇ
對話	ㄉㄨㄟˋ ㄏㄨㄚˋ
對面	ㄉㄨㄟˋ ㄇㄧㄢˋ
多麼	ㄉㄨㄛ ˙ㄇㄜ
多數	ㄉㄨㄛ ㄕㄨˋ
方便麵	ㄈㄤ ㄅㄧㄢˋ ㄇㄧㄢˋ
方面	ㄈㄤ ㄇㄧㄢˋ
放下	ㄈㄤˋ ㄒㄧㄚˋ
分開	ㄈㄣ ㄎㄞ
分數	ㄈㄣ ㄕㄨˋ
複習	ㄈㄨˋ ㄒㄧˊ
感到	ㄍㄢˇ ㄉㄠˋ
乾杯	ㄍㄢ ㄅㄟ
感覺	ㄍㄢˇ ㄐㄩㄝˊ
幹活兒	ㄍㄢˋ ㄏㄨㄛˊ ㄦˊ
高級	ㄍㄠ ㄐㄧˊ
感謝	ㄍㄢˇ ㄒㄧㄝˋ
個子	ㄍㄜˋ ˙ㄗ
公斤	ㄍㄨㄥ ㄐㄧㄣ
公路	ㄍㄨㄥ ㄌㄨˋ
公里	ㄍㄨㄥ ㄌㄧˇ
故意	ㄍㄨˋ ㄧˋ
關心	ㄍㄨㄢ ㄒㄧㄣ
廣場	ㄍㄨㄤˇ ㄔㄤˇ
廣告	ㄍㄨㄤˇ ㄍㄠˋ
過來	ㄍㄨㄛˋ ㄌㄞˊ
過年	ㄍㄨㄛˋ ㄋㄧㄢˊ
國際	ㄍㄨㄛˊ ㄐㄧˋ
過去	ㄍㄨㄛˋ ㄑㄩˋ
好多	ㄏㄠˇ ㄉㄨㄛ
好久	ㄏㄠˇ ㄐㄧㄡˇ
好人	ㄏㄠˇ ㄖㄣˊ
好事	ㄏㄠˇ ㄕˋ
好像	ㄏㄠˇ ㄒㄧㄤˋ
黑板	ㄏㄟ ㄅㄢˇ
黑色	ㄏㄟ ㄙㄜˋ
紅色	ㄏㄨㄥˊ ㄙㄜˋ
忽然	ㄏㄨ ㄖㄢˊ
花園	ㄏㄨㄚ ㄩㄢˊ
畫兒	ㄏㄨㄚˋ ㄦˊ
畫家	ㄏㄨㄚˋ ㄐㄧㄚ
壞人	ㄏㄨㄞˋ ㄖㄣˊ
壞處	ㄏㄨㄞˋ ㄔㄨˋ
黃色	ㄏㄨㄤˊ ㄙㄜˋ
回國	ㄏㄨㄟˊ ㄍㄨㄛˊ
計劃	ㄐㄧˋ ㄏㄨㄚˋ
計算機	ㄐㄧˋ ㄙㄨㄢˋ ㄐㄧ
家長	ㄐㄧㄚ ㄓㄤˇ
假期	ㄐㄧㄚˋ ㄑㄧ
見過	ㄐㄧㄢˋ ㄍㄨㄛˋ
見到	ㄐㄧㄢˋ ㄉㄠˋ
講話	ㄐㄧㄤˇ ㄏㄨㄚˋ
交給	ㄐㄧㄠ ㄍㄟˇ
